A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
1.32743,6.415966045718423,-5.359333780165652,-4.521702587754809,-5.605740284644138,9.758,3619.04986598,-0.258889811852,0.465858391456
1.06304,4.802775162471454,-5.1534376322788065,-4.3331398736198175,-5.416501280078492,9.054,3609.97091351,-0.0460303795674,0.544374587462
0.245106,nan,nan,nan,nan,10.562,4777.64236669,0.31363333436,2.69250953508
1.16861,5.9831880579664825,-5.210334508599204,-4.38778030908626,-5.4772732669710384,9.576,3591.37946437,-0.0552810611477,0.51547560996
1.04285,5.264497540641794,-4.742006845872316,-3.9315945099637277,-4.982634635689311,9.667,3676.1998713,0.108158730242,0.772011371537
0.791315,7.746363949694064,-5.636503724841201,-4.761780322672657,-5.854804488573483,9.382,3685.13194403,-0.506672381031,0.431636355302
1.06121,7.1757627706351235,-6.1801874731693385,-5.269888119366233,-6.452550362898179,8.888,3513.55533009,-0.292193564976,0.173012734993
0.131274,7.04215485094334,-3.394217785031101,-2.8660592428908167,-3.4828018530110763,10.887,4781.26078195,-1.75676367762,1.51999231152
1.19432,4.326889157312964,-4.985342704364738,-4.169872545933747,-5.247198849712228,9.128,3683.92947593,0.0755519733558,0.658253548877
0.84456,7.42904927120491,-4.8758489562071246,-4.078501818856425,-5.046226193507813,10.153,3922.90440586,-0.604568922833,0.693303310971
0.882198,1.7655262169114565,-2.499526296138513,-1.8932553642873766,-2.597568854682329,9.519,4261.10829397,-1.06563384685,1.30499288932
1.54408,nan,nan,nan,nan,7.82,3359.41731739,-0.372603195299,0.155510245728
1.15025,0.8892874960407077,-5.303176947581806,-4.447771528891143,-5.582460929481727,5.313,3527.63329209,-0.00701867343972,0.584160568637
-0.0119336,2.1374574681819274,-1.1530897762314494,-0.7064329038181095,-1.2264874087725894,10.423,5122.52437527,-1.47017363963,2.46603546629
1.16127,8.344521906261834,-6.322426920849131,-5.429721919313917,-6.54727729559741,9.221,3586.1125284,-0.480378717822,0.131122874531
1.35405,3.0922645294125215,-4.583866691509832,-3.98891836681157,-4.690433193938627,9.115,3471.51081388,-0.201343256711,0.365406425347
0.97308,4.893483849685819,-4.3818631937028005,-3.558777874980555,-4.59317079662074,9.828,3743.09994139,0.115769156521,1.04799335839
1.3568,2.1509459497021113,-4.499956531758031,-3.9318754527598365,-4.597947486523441,8.422,3354.35318988,-0.331519517279,0.0620307197086
-0.0110153,0.5212916090958281,1.8853256618267036,2.3242091181391173,1.819596327913421,10.405,5082.7259148,-0.16331625549,3.7670724237
0.56457,0.6316122832794714,-3.7997854492880356,-3.2355491996529193,-3.8968228368002005,5.67,3399.65792292,-0.189261875249,0.282911107546
0.143208,2.1901050753429514,-1.2385957710511766,-0.8127744990489687,-1.31153275809767,10.534,5224.51092839,-1.4062805906,2.43826917629
1.75246,nan,nan,nan,nan,9.305,3468.00416516,-0.932746233608,-0.242044091245
0.0945536,1.618579302628377,-1.2979981435452457,-0.8825380739216571,-1.3662235130401215,9.774,5308.28510012,-1.30563319798,2.40709370247
1.44218,1.7819608694138152,-3.731748654969635,-3.1627192564899644,-3.8296708150468084,8.867,3445.1382978,-0.242915653011,0.32131823356
0.221238,nan,nan,nan,nan,9.311,4657.17254048,0.312155071924,2.41084162464
1.22737,1.3253127806899787,-2.3489224596828953,-1.7557188928641716,-2.4529619305984616,9.386,3773.95519691,-0.609279422698,1.06791990666
0.0605888,5.238061939160093,-3.4163508232030653,-2.872091627102488,-3.5054419478767644,10.151,4738.77627982,-1.61698945317,1.51488021769
0.976752,3.1030300927474017,-4.414529121961023,-3.6394632529609736,-4.622681936655553,8.813,3804.05546035,-0.0813834558304,0.855019173263
0.846396,7.126613201946864,-5.0289309413487215,-4.179648911704514,-5.2448119401762305,9.866,3725.28400763,-0.22172896483,0.731367580871
1.38343,6.744139559059583,-5.750768722369346,-4.8715987580231195,-6.037062743657543,9.491,3483.39352232,-0.176594865931,0.35222242257
0.433296,1.4226276280869696,-2.4602002972371517,-1.7874190455742518,-2.5967521932178674,8.602,4233.05887232,0.266585835762,1.91928166289
1.79836,nan,nan,nan,nan,9.83,3526.08954477,-0.421700146432,0.0319877027264
1.15117,2.3102890585768208,-4.009492213433813,-3.230723857005386,-4.207501606584307,8.762,3844.49952117,0.209715798018,1.20202728547
2.0196,2.064945249144026,-3.992502047949072,-3.4237677546426584,-4.090142705361964,9.504,3482.32277742,-0.502705726135,0.151745116646
1.01164,4.226053078440785,-3.7428335901746808,-3.1255053802732062,-3.853314737042403,10.288,3943.45324187,-1.01302453116,0.577212204593
0.138619,4.643837719190355,-3.4446481123731516,-2.9030375630228726,-3.533004173666478,9.94,4731.49823927,-1.67354164161,1.48035560025
0.109241,2.7152848913203345,-1.3555862306999904,-0.938462683999121,-1.4243180153653057,10.854,5297.70449664,-1.35064108695,2.38178765757
0.391986,1.6515106739124676,-3.3867377098723925,-2.6683026749695005,-3.560392924670332,7.921,4161.87308813,0.169829443259,1.41995505119
0.0220321,1.2272937923720855,-0.1747889623075328,0.23856922485713306,-0.24577478785312687,10.221,5315.05790901,-0.842862470026,2.88463378578
